SONG_TITLE,ARTIST_NAME,SONG_ID,Concept_Love,Concept_Heartbreak,Concept_Partying,Concept_Drugs,Concept_Sex,Concept_Violence,Concept_Self-Empowerment,Concept_Success,Concept_Hope,Concept_Celebration,Concept_Coming_Of_Age,Concept_Loneliness,Concept_Struggle,Concept_Friendship,Concept_Traveling,ConceptUncertainty_Love,ConceptUncertainty_Heartbreak,ConceptUncertainty_Partying,ConceptUncertainty_Drugs,ConceptUncertainty_Sex,ConceptUncertainty_Violence,ConceptUncertainty_Self-Empowerment,ConceptUncertainty_Success,ConceptUncertainty_Hope,ConceptUncertainty_Celebration,ConceptUncertainty_Coming_Of_Age,ConceptUncertainty_Loneliness,ConceptUncertainty_Struggle,ConceptUncertainty_Friendship,ConceptUncertainty_Traveling
Wanted,Hunter Hayes,lyrics_full_02217,7.1653233,0.37655208,2.149824,0.5751943,8.985444,0.35226136,0.11991859,0.34704107,0.22119102,0.21355698,1.3108897,0.4975997,0.04855892,0.27334183,1.1799568,2.4208186,0.205437,1.8523562,0.5380135,0.89493334,0.2602106,0.07575623,0.1732956,0.13467431,0.13671435,0.8843279,0.38933772,0.018984145,0.4143504,1.3231431
Drunk on You,Luke Bryan,lyrics_full_02218,0.9478636,5.0789967,1.7464783,3.534245,2.0192826,7.1370764,3.5221205,3.9915795,1.9333702,0.18623155,3.9845142,8.188772,7.1986446,1.4741046,0.5024005,0.9916295,2.3554916,2.2513099,1.8493207,1.1643517,1.8181473,0.94756997,2.0844793,1.042733,0.13827854,2.8247092,2.5941565,0.88843024,0.98215795,0.45118666
No Lie,2 Chainz,lyrics_full_02219,7.843141,5.474126,0.13747418,1.5151033,1.4226944,7.216367,2.7763865,0.3230421,5.5716496,0.13029589,1.5241872,4.460674,4.6035714,1.3076568,0.520603,1.4948577,2.4959624,0.20322151,1.8591442,1.6522667,3.372915,1.8682669,0.2901329,2.1845167,0.09927585,1.5588913,2.3125105,2.1614556,1.1003569,0.47686306
Want U Back,Cher Lloyd,lyrics_full_02220,5.193021,0.720296,3.6419425,0.46796605,3.7825232,5.253397,7.3912287,4.9770813,9.477549,5.7597284,8.698866,0.6410717,1.7205842,1.7420294,2.6906455,1.7755622,0.5929285,3.1493063,0.5612372,2.4286008,2.4771452,2.0632358,2.8915062,0.30088568,2.8455873,0.99658495,0.8585054,1.6615126,2.57103,2.328824
Don't Wake Me Up,Chris Brown,lyrics_full_02221,7.6428833,4.6881504,5.9094343,0.010808712,3.9355845,0.062209222,4.9273615,4.610012,7.452846,5.0094137,1.4328779,0.39668763,1.1506205,1.3142793,4.598281,0.9545351,2.5171819,2.666473,0.006051638,2.5926538,0.046060495,1.4579787,2.105784,0.65635717,2.7067013,1.1471493,0.27585408,0.73271245,0.90718025,3.643032
Dance,Big Sean,lyrics_full_02222,9.302332,9.1115885,0.19189301,5.9046783,1.6103973,2.337314,0.93966115,0.017718587,1.0381976,0.088294834,3.38024,8.584712,7.1016,6.9839883,0.08783006,0.21813987,0.6583267,0.04242044,2.1631703,0.6825291,2.4139667,0.21148363,0.0067269146,0.64489293,0.033910528,1.8779666,1.342404,1.1232545,1.2056389,0.057004042
Springsteen,Eric Church,lyrics_full_02223,9.596897,9.259044,0.094497845,0.5044685,0.7548053,0.78029454,1.7778451,0.17610908,6.592565,0.38369274,0.34148395,5.264577,3.3043213,2.2604895,0.17881054,0.1295623,0.64836776,0.05452245,0.43739426,0.23340607,0.8439138,1.7431843,0.09574402,1.0426074,0.53199613,0.27535993,1.2725165,2.6500204,2.86497,0.13849254
Brokenhearted,Karmin,lyrics_full_02224,6.6804905,4.1697016,4.976102,0.98223513,3.6185942,0.07804959,2.7836103,0.42078212,6.9238033,1.6859033,8.433802,6.05435,1.8244753,6.8335447,0.47056052,1.914749,2.6146832,1.5055349,1.1839194,1.8973607,0.08779303,1.8852354,0.48105225,2.1851158,1.2834347,1.4490132,2.4455972,1.3522758,2.1110716,0.34337434
Not Over You,Gavin DeGraw,lyrics_full_02225,5.4552073,4.6559114,2.6406627,0.63439834,2.690184,0.582281,2.6689477,6.4115343,0.4025176,3.500884,1.0826459,0.5942064,6.581317,1.1309865,0.16486464,2.120565,2.0483365,1.6549182,0.9492094,1.8719487,0.5880964,2.8289957,1.7170917,0.22173874,2.467461,1.3395225,0.61249053,2.350008,1.1864756,0.19941041
Stereo Hearts,Gym Class Heroes,lyrics_full_02226,6.75986,3.948433,2.922537,0.045265637,3.7149215,0.3722304,3.4580975,0.98721915,3.0976663,1.8373373,1.9200912,0.89564735,0.68902194,0.25207227,0.0047649886,1.3729563,2.3727167,0.79900646,0.02872641,1.2776296,0.41292146,2.4340854,0.5219176,2.4557188,0.4981989,1.6139168,0.6735097,0.68869984,0.16086197,0.0017795864
