song_title,artist,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_mean_12,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,chroma_std_12,spectral_centroid
Mama's Broken Heart,Miranda Lambert,112.34714673913044,-66.5782,96.6294,4.5591,32.8624,9.9662,11.1655,7.0101,8.8057,1.4655,3.2459,-2.3574,-0.1002,-3.63,0.3751,0.2756,0.2663,0.3251,0.4477,0.3576,0.3816,0.342,0.3075,0.388,0.4762,0.6064,0.2581,0.2463,0.2353,0.2578,0.3489,0.2767,0.2995,0.2864,0.2485,0.3092,0.2843,0.3439,2056.1468
It Goes Like This,Thomas Rhett,172.265625,-164.6561,99.2775,4.6065,25.191,7.95,9.89,2.422,6.1325,2.9648,5.2316,-1.484,1.6378,0.5663,0.2489,0.3132,0.295,0.4722,0.3553,0.3286,0.4189,0.2919,0.3376,0.2487,0.3303,0.3914,0.2207,0.3061,0.2303,0.3474,0.3009,0.284,0.3325,0.2434,0.3278,0.2468,0.2928,0.3497,1848.3889
Bugatti,Ace Hood featuring Future and Rick Ross,129.19921875,-124.8704,83.4311,13.2899,14.5163,5.673,2.4217,-3.2247,9.2034,2.0671,11.6372,6.3473,9.4466,4.5831,0.3952,0.5714,0.4003,0.4299,0.3406,0.3497,0.3081,0.366,0.6003,0.4674,0.3781,0.3725,0.2713,0.3472,0.2758,0.3066,0.2654,0.2708,0.2506,0.2409,0.3455,0.318,0.2853,0.286,2448.3719
Wanted,Hunter Hayes,86.1328125,-120.6881,102.074,-4.2856,15.0428,3.1043,0.3792,-2.1787,3.0615,-9.8286,8.6878,-10.0873,1.0869,-0.6777,0.4696,0.2463,0.3642,0.2403,0.3826,0.2524,0.2514,0.534,0.2574,0.267,0.1775,0.2856,0.3585,0.1867,0.3448,0.217,0.3498,0.2714,0.1989,0.3533,0.2006,0.3001,0.1919,0.2313,2108.5256
Downtown,Lady Antebellum,172.265625,-59.1028,85.433,5.5587,27.4486,5.7477,3.3851,1.0589,5.9987,-2.4915,-2.3051,-6.8309,0.0731,-5.818,0.3208,0.4138,0.2581,0.3177,0.4816,0.3501,0.4093,0.3048,0.428,0.3539,0.3072,0.4266,0.2355,0.3454,0.2224,0.2519,0.3513,0.2552,0.3484,0.2435,0.3269,0.2961,0.2451,0.3255,2371.0034
Get Your Shine On,Florida Georgia Line,95.703125,-97.6685,79.4378,-20.807,11.7044,-4.3114,8.8103,-1.7598,6.8626,-0.4486,6.1544,-0.3572,6.0832,-1.2782,0.561,0.2931,0.4243,0.3081,0.4613,0.2877,0.3596,0.6259,0.3184,0.3268,0.2569,0.4191,0.3339,0.1853,0.3102,0.2117,0.3105,0.2415,0.2496,0.3196,0.205,0.2849,0.2104,0.2617,2467.8976
#thatPower,will.i.am featuring Justin Bieber,129.19921875,-132.9902,66.1377,16.9483,31.7325,12.0587,12.6682,3.6591,10.3313,1.5501,7.79,1.0306,6.5982,-0.1958,0.342,0.4022,0.378,0.4083,0.566,0.4939,0.5802,0.4739,0.5399,0.5965,0.4632,0.4363,0.2478,0.2745,0.2541,0.2428,0.3264,0.3106,0.3336,0.3158,0.3233,0.329,0.2672,0.302,2691.2078
Brave,Sara Bareilles,92.28515625,-21.5998,73.6181,-0.6581,24.3057,6.4919,11.087,4.0437,11.5546,2.8494,8.755,-1.0512,7.7714,-0.7914,0.4295,0.3995,0.5369,0.4505,0.3534,0.4486,0.35,0.3911,0.3413,0.4539,0.5147,0.3724,0.3234,0.2729,0.319,0.3058,0.2392,0.3179,0.2444,0.2991,0.2616,0.3044,0.3207,0.2583,2677.0624
Let Her Go,Passenger,151.99908088235293,-120.9599,94.6876,11.7094,24.7531,8.5984,4.9333,2.2074,1.9909,-3.6802,-1.163,-7.5878,-4.3699,-3.8228,0.3083,0.2867,0.4341,0.3106,0.3212,0.2565,0.3522,0.4039,0.2776,0.3491,0.2666,0.3887,0.3001,0.2327,0.3661,0.2444,0.3274,0.2493,0.2835,0.3551,0.2252,0.3448,0.2272,0.3421,2102.9721
Runnin' Outta Moonlight,Randy Houser,86.1328125,-41.066,81.1307,-5.2344,23.0017,5.5965,9.3157,2.1894,10.1932,-0.8313,6.3817,-0.8902,3.3828,-2.14,0.2961,0.3641,0.4687,0.3348,0.4276,0.3254,0.4797,0.3539,0.3648,0.5565,0.3666,0.3835,0.2409,0.2495,0.3292,0.2194,0.3267,0.2223,0.333,0.2822,0.2517,0.3328,0.2437,0.306,2439.667
I'm Different,2 Chainz,99.38401442307692,-214.6566,31.544,-15.7409,8.5872,7.162,0.7866,-6.0853,5.4278,-11.4984,5.6597,-2.4093,1.3258,1.4586,0.4173,0.3375,0.2932,0.2889,0.3651,0.3243,0.2272,0.2411,0.3091,0.4111,0.3435,0.3921,0.3548,0.32,0.3004,0.2878,0.3348,0.3171,0.2384,0.2587,0.2862,0.3529,0.3103,0.3501,3202.5652
Still Into You,Paramore,135.99917763157896,-9.6967,80.5456,-4.2167,23.2166,6.4142,9.3853,7.0412,6.4274,1.9427,4.7512,-4.7152,2.7043,-2.789,0.4641,0.3441,0.3435,0.3059,0.4153,0.4452,0.3257,0.4182,0.3847,0.4935,0.3673,0.3633,0.3371,0.2495,0.2902,0.2306,0.2884,0.3402,0.2333,0.3141,0.269,0.3439,0.2817,0.2623,2633.3592
